eig
   	eigenvalue	percentage of variance	cumulative percentage of variance	
comp 1	4.1242	41.2421	41.2421	
comp 2	1.8385	18.3853	59.6274	
comp 3	1.2391	12.3914	72.0188	
comp 4	0.8194	8.1944	80.2132	
comp 5	0.7016	7.0155	87.2288	
comp 6	0.4229	4.2288	91.4576	
comp 7	0.3026	3.0258	94.4834	
comp 8	0.2745	2.7447	97.2281	
comp 9	0.1552	1.5522	98.7803	
comp 10	0.122	1.2197	100	

var
coord
   	Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	
BOURGUIGNON	21.4708	3.9474	4e-04	2.466	1.1383	
Sebrle	13.1292	3.6613	10.3306	3.6278	0.0041	
Clay	12.1206	6.5148	1.4028	0.5567	2.0989	
Karpov	18.26	1.5758	3.7792	0.5447	4.12	
Macey	3.7658	10.5312	3.5178	1.8963	0	
Warners	2.1213	0.1965	14.6685	5.7666	0.0106	
Zsivoczky	0.2451	2.1234	10.9553	0.1895	1.0749	
Hernu	0.0841	3.3597	0.1067	3.9954	3.0801	
Bernard	2.0603	5.401	2.5355	3.0813	4.7898	
Schwarzl	0.556	1.0718	3.9733	4.7685	0.5402	
Pogorelov	0.0506	1.833	0.3249	10.1935	0.0015	
Schoenbeck	0.2704	4.1786	0.0389	0.3447	2.6974	
Barras	0.11	1.6598	2.7237	1.9267	3.9393	

dist
2.252966	3.660804	3.060617	2.867445	2.724941	2.598958	3.848396	3.059956	2.311227	4.056839	4.867273	4.294174	4.089129	4.701314	3.135084	2.805527	2.271541	1.793136	2.598924	2.125717	2.481059	1.955559	2.344874	
svd
vs
2.030816	1.355924	1.113167	0.9052294	0.8375875	0.6502944	0.5500742	0.5238988	0.3939758	0.3492435	
U
   	
	0.0963	1.1719	0.5772	0.0927	1.3948	
	0.3978	1.8252	-1.2463	1.4343	-0.985	
	-0.6693	1.2155	0.1802	-2.1697	0.1005	
	-0.4377	-0.3264	2.2724	0.7875	0.4869	
	-0.0532	-1.5258	-1.1986	-0.1122	-0.2405	
	0.0597	-0.7478	-0.7748	1.4821	1.9359	
	-1.2045	-0.9689	0.825	0.4214	-2.7385	
	-0.9521	0.8887	0.1437	1.0067	-0.1547	
	-0.8934	-0.3111	-0.6046	0.2584	-0.2855	
	-1.3982	-1.1859	-0.5578	-1.7569	1.7386	
	-2.2222	0.9528	0.0092	0.7531	0.5117	
	1.7377	0.9177	1.5414	-0.9135	-0.0306	
	1.6697	1.2241	0.568	-0.3578	0.6948	
	2.0493	-0.602	-0.9323	0.354	-0.9734	
	0.9307	-1.5563	0.8995	0.6604	-3e-04	
	0.6985	0.2126	-1.8368	-1.1517	-0.0495	
	0.2374	-0.6988	1.5874	-0.2088	0.4972	
	0.1391	-0.8791	-0.1567	-0.9586	-0.8417	
	0.6884	-1.1146	-0.7636	0.8418	1.0496	
	-0.3576	0.4965	-0.956	-1.0473	-0.3525	
	-0.1079	0.6493	-0.2734	1.5312	-0.0184	
	-0.2494	0.9803	-0.0946	-0.2816	-0.7877	
	-0.159	-0.6179	0.7915	-0.6657	-0.9519	

V
   	
	-0.4189	-0.1323	0.2709	0.0371	-0.2321	
	0.3911	0.2071	-0.1712	-0.1275	0.2784	
	0.3614	0.063	0.465	0.1419	-0.2971	
	0.3004	-0.3431	0.2965	0.1597	0.4808	
	-0.3455	0.214	0.2547	0.4759	0.1241	
	-0.3763	-0.0182	0.4033	-0.0187	0.2677	
	0.366	0.0366	0.1586	0.4364	-0.4874	
	-0.107	0.5955	0.0845	-0.3745	-0.2647	
	0.2109	0.2848	0.5427	-0.3665	0.2362	
	0.0021	0.5786	-0.1972	0.4949	0.3143	

ind.sup
coord
   	Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	
KARPOV	0.7947	0.7795	-1.633	1.7242	-0.7507	
WARNERS	-0.3865	-0.1216	-1.7387	-0.7063	-0.0323	
Nool	-0.5591	1.9775	-0.483	-2.2785	-0.2546	
Drews	-1.1092	0.0174	-3.0488	-1.5343	-0.3264	

cos2
   	Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	
KARPOV	0.051	0.0491	0.2155	0.2403	0.0455	
WARNERS	0.0242	0.0024	0.4904	0.0809	2e-04	
Nool	0.029	0.3624	0.0216	0.4811	0.006	
Drews	0.0921	0	0.6956	0.1762	0.008	

dist
3.51747	2.482899	3.284943	3.655527	
quanti.sup
coord
   	Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	
Rank	-0.7015	-0.2452	-0.1834	0.0558	-0.0738	
Points	0.9637	0.0777	0.158	-0.1662	-0.0311	

cor
   	Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	
Rank	-0.7015	-0.2452	-0.1834	0.0558	-0.0738	
Points	0.9637	0.0777	0.158	-0.1662	-0.0311	

cos2
   	Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	
Rank	0.4921	0.0601	0.0336	0.0031	0.0055	
Points	0.9287	0.006	0.025	0.0276	0.001	

quali.sup
coord
   	Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	
Decastar	-1.3435	0.1218	-0.0379	0.1808	0.1343	
OlympicG	1.2315	-0.1117	0.0347	-0.1658	-0.1231	

cos2
   	Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	
Decastar	0.9051	0.0074	7e-04	0.0164	0.0091	
OlympicG	0.9051	0.0074	7e-04	0.0164	0.0091	

v.test
   	Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	
Decastar	-2.9708	0.4034	-0.1529	0.8971	0.7202	
OlympicG	2.9708	-0.4034	0.1529	-0.8971	-0.7202	

dist
1.412108	1.294433	
eta2
   	Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	
Competition	0.4012	0.0074	0.0011	0.0366	0.0236	

