eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
dim 1;0.0354;57.0429;57.0429;
dim 2;0.0131;21.1319;78.1748;
dim 3;0.0073;11.7644;89.9391;
dim 4;0.0062;10.0609;100;

row
coord
   ;Dim 1;Dim 2;Dim 3;Dim 4;
war;0.7491;0.0888;0.1524;0.0097;
housing;7e-04;0.2686;0.126;0.6046;
fear;0.9007;0.0734;0.0239;0.002;
health;0.7991;0.0012;0.0334;0.1663;
work;0.754;0.1995;0.0394;0.0071;

inertia
0.003759484;0.008690393;0.009151218;0.003803754;0.001199351;0.008787449;0.003287064;0.005648353;0.003576277;0.001024995;0.002000088;0.004585206;0.0009113078;0.005636361;
col
coord
   ;Dim 1;Dim 2;Dim 3;Dim 4;
unqualified;-0.2093;-0.0807;0.0726;0.0959;
cep;-0.1386;0.056;-0.0181;-0.0843;
bepc;0.1088;-0.0285;-0.147;0.0606;
high_school_diploma;0.274;-0.1213;0.0767;-0.0579;
university;0.2312;0.3179;0.0942;0.0903;

contrib
   ;Dim 1;Dim 2;Dim 3;Dim 4;
unqualified;25.1102;10.0819;14.6588;29.8601;
cep;18.2974;8.0794;1.5201;38.3721;
bepc;6.7579;1.2512;59.8739;11.8909;
high_school_diploma;37.9757;20.0991;14.4068;9.6164;
university;11.8589;60.4884;9.5404;10.2605;

cos2
   ;Dim 1;Dim 2;Dim 3;Dim 4;
unqualified;0.6762;0.1006;0.0814;0.1418;
cep;0.6449;0.1055;0.011;0.2385;
bepc;0.3119;0.0214;0.5699;0.0968;
high_school_diploma;0.7582;0.1487;0.0593;0.0339;
university;0.3117;0.589;0.0517;0.0476;

inertia
0.01314631;0.01004404;0.007670407;0.01773221;0.01346834;
svd
vs
0.188153;0.1145196;0.08544656;0.07901844;5.603949e-17;
U
   ;
;-0.6126;0.175;1.1801;1.0704;
;0.9378;-0.8546;-0.6155;-0.068;
;-1.128;-0.6175;-0.0509;-0.4767;
;2.1308;2.8902;-0.183;-0.8693;
;-1.3286;0.5907;0.7059;-0.0402;
;1.8813;2.8006;0.9833;1.9545;
;0.3183;-0.2241;2.0949;-1.4217;
;-0.7268;1.8808;-2.492;-0.7368;
;-1.2596;-1.7987;-0.5167;4.0574;
;1.1524;-0.652;-1.1445;0.3128;
;-0.0355;1.1198;1.0282;-2.4351;
;1.0808;-0.5071;-0.3874;-0.121;
;0.5934;0.0375;0.2672;0.6446;
;-1.125;0.9508;-0.5664;0.2591;

V
   ;
;-1.1125;-0.7049;0.85;1.2132;
;-0.7365;0.4894;-0.2123;-1.0666;
;0.578;-0.2487;-1.7205;0.7667;
;1.4565;-1.0596;0.8971;-0.7329;
;1.229;2.7756;1.1023;1.1431;

row.sup
coord
   ;Dim 1;Dim 2;Dim 3;Dim 4;
comfort;0.2097;0.7032;0.0711;0.3071;
disagreement;0.1463;0.119;0.1711;-0.3132;
world;0.5233;0.143;0.084;-0.1064;
to_live;0.3083;0.502;0.5209;0.2557;

cos2
   ;Dim 1;Dim 2;Dim 3;Dim 4;
comfort;0.0689;0.7752;0.0079;0.1479;
disagreement;0.1313;0.0869;0.1796;0.6021;
world;0.8759;0.0654;0.0226;0.0362;
to_live;0.139;0.3685;0.3968;0.0956;

col.sup
coord
   ;Dim 1;Dim 2;Dim 3;Dim 4;
thirty;0.1054;-0.0597;-0.1032;0.0698;
fifty;-0.0171;0.0491;-0.0157;-0.0131;
more_fifty;-0.1771;-0.0481;0.1008;-0.0852;

cos2
   ;Dim 1;Dim 2;Dim 3;Dim 4;
thirty;0.1376;0.0441;0.1319;0.0603;
fifty;0.0109;0.0899;0.0092;0.0064;
more_fifty;0.2861;0.0211;0.0927;0.0662;

